Usage,File,Actions
3,BaseCommentQuery.java,
1,Column.java,
1,DeleteAttachmentQuery.java,
4,FindCommentQuery.java,
4,GetAllAttachmentsQuery.java,
4,GetAttachmentQuery.java,
4,GetCommentQuery.java,
1,InsertAttachmentQuery.java,
1,Table.java,
1,UpdateAttachmentQuery.java,
5,commentTableQueries.xml,
3,create_schema_userlogins5_south_sequences.sql,
1,DeleteCommentsMapper.xml,
1,extractTextSearchFiles,
2,initialize_wdk_roles.sql,
2,MigrateCommentsMapper.xml,
3,migration_comment_b21.sql,
2,update_sequences.pl,
